Id,Model,Age_08_04,Mfg_Month,KM,HP,cc,Quarterly_Tax,Weight,Price (Y),,,,
66,TOYOTA Corolla 1.6 VVT-I 5DR LINEA SOL 4/5-Doors,26,7,32181,110,1600,19,1075,16950,,,,
67,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,28,5,30993,110,1600,85,1130,18950,,,,
68,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,22,11,30400,97,1400,85,1110,14950,,,,
69,TOYOTA Corolla 2.0 D4D 110 5DR SOL 4/5-Doors,22,11,30000,110,2000,234,1275,22250,,,,
70,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,25,8,29719,97,1400,85,1110,15950,,,,
71,?TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,28,5,29206,97,1400,85,1110,15950,,,,
72,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,32,1,29198,97,1400,85,1060,12995,,,,
73,?TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,28,5,28817,110,1598,85,1130,18950,,,,
74,?TOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,23,10,28227,97,1400,85,1110,15750,,,,
75,?TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,28,5,28000,110,1600,85,1130,19950,,,,
76,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,23,10,28000,110,1600,85,1115,16950,,,,
77,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,31,2,25266,110,1600,85,1130,18750,,,,
78,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,27,6,23489,110,1600,85,1115,18450,,,,
79,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,29,4,22575,110,1600,85,1115,16895,,,,
80,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,30,3,22000,97,1400,85,1110,14900,,,,
81,TOYOTA Corolla 1.6 5drs 1 4/5-Doors,25,8,20019,110,16000,100,1180,18950,,,,
82,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,29,4,20000,110,1600,85,1115,17250,,,,
83,?TOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,25,8,17003,97,1400,85,1110,15450,,,,
84,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,31,2,16238,110,1600,100,1180,17950,,,,
85,?TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,25,8,15414,97,1400,85,1110,16650,,,,
86,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,28,5,8537,110,1600,85,1130,17450,,,,
87,?TOYOTA Corolla 1.4 VVTI  (Nw type) 4/5-Doors,30,3,7000,97,1400,85,1100,14900,,,,
88,TOYOTA Corolla 2.0 D4D 90 3DR TERRA COMF BNS 2/3-Doors,20,1,66966,90,2000,210,1245,17950,,,,
89,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,19,2,51884,97,1400,85,1100,15950,,,,
90,TOYOTA Corolla 2.0 D4D 110 3DR SOL 2/3-Doors,19,2,50005,110,2000,234,1265,21950,,,,
91,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,20,1,48110,97,1400,85,1100,16450,,,,
92,?TOYOTA Corolla 2.0 D4D 90 3DR SOL BNS 2/3-Doors,20,1,37500,90,2000,234,1260,22250,,,,
93,TOYOTA Corolla 2.0 D 4D Linea Sol 3 Doors 2/3-Doors,16,5,34472,90,1995,234,1260,19950,,,,
94,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,20,1,33329,97,1400,85,1100,15950,,,,
95,TOYOTA Corolla 1.6 16v VVT-i Linea Sol 2/3-Doors,20,1,31850,110,1600,85,1120,18900,,,,
96,TOYOTA Corolla 2.0 D4D Linea Sol 3 Doors 2/3-Doors,17,4,30351,90,1995,234,1260,19950,,,,
97,?TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,19,2,29435,97,1400,85,1100,15950,,,,
98,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,19,2,25948,97,1400,85,1100,15950,,,,
99,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,11,10,24500,110,1600,85,1120,18750,,,,
100,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,18,3,23902,97,1400,85,1100,17450,,,,
101,?TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,20,1,23175,110,1600,85,1120,18990,,,,
102,?TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,19,2,19200,97,1400,85,1100,16250,,,,
103,TOYOTA Corolla 1.4 VVT-i Sol 2/3-Doors,13,8,18000,71,1400,85,1125,18500,,,,
104,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,11,10,16123,110,1600,85,1105,18500,,,,
105,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMF AUT 2/3-Doors,11,10,14635,110,1600,100,1155,19450,,,,
106,?TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,19,2,13748,97,1400,85,1100,16950,,,,
107,?TOYOTA Corolla 1.6 VVT-i Linea Terra Comfort 2/3-Doors,14,7,11500,110,1600,69,1045,18800,,,,
108,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,17,4,10000,97,1400,85,1100,17450,,,,
109,?TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,20,1,7187,110,1600,85,1105,17950,,,,
111,?TOYOTA Corolla VERSO 2.0 D4D SOL (7) BNS MPV,4,5,1,116,2000,283,1480,32500,,,,
112,TOYOTA Corolla VERSO 2.0 D4D SOL (7) MPV,4,5,4000,116,2000,283,1480,31000,,,,
113,TOYOTA Corolla VERSO 2.0 D4D SOL (7) MPV,4,5,1500,116,2000,283,1480,31275,,,,
114,?TOYOTA Corolla VERSO 2.0 D4D LINEA SOL MPV,8,1,13253,116,2000,234,1320,24950,,,,
115,TOYOTA Corolla VERSO 2.0 D4D LINEA SOL MPV,8,1,13253,116,2000,234,1320,24950,,,,
116,TOYOTA Corolla 2.0 D4D 116 5DR LUNA 4/5-Doors,7,2,10000,116,2000,234,1270,22950,,,,
117,TOYOTA Corolla 2.0 D4D 90 WAGON SOL Stationwagen,8,1,6000,90,2000,234,1280,24990,,,,
118,?TOYOTA Corolla 2.0 D4D 90 5DR SOL 4/5-Doors,8,1,10841,90,2000,234,1270,21950,,,,
119,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,7,2,1,110,1600,85,1105,17900,,,,
120,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,20,1,63000,90,2000,234,1255,19250,,,,
121,TOYOTA Corolla 2.0 D4D 110 5DR EXEC BNS 4/5-Doors,17,4,57313,110,2000,234,1275,22250,,,,
122,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,13,8,57037,110,1600,85,1115,18950,,,,
123,?TOYOTA Corolla 2.0 D4D Linea Terra Comfort 4/5-Doors,19,2,51099,90,2000,234,1255,19950,,,,
124,?TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,14,7,40010,110,1600,85,1115,16350,,,,
125,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,20,1,39115,110,1600,85,1130,18950,,,,
126,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,17,4,36012,110,1600,85,1130,16950,,,,
127,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,16,5,36000,110,1600,85,1130,21750,,,,
128,TOYOTA Corolla 1.6 VVT-i Linea Sol 4/5-Doors,20,1,36000,110,1600,19,1075,15950,,,,
129,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,20,1,35000,97,1400,85,1110,16500,,,,
130,TOYOTA Corolla 1.4 16V VVT I 5DR SOL 4/5-Doors,17,4,33740,97,1400,85,1135,17950,,,,
131,TOYOTA Corolla 1.6 vvt-i nw model comfort airco 5drs 4/5-Doors,13,8,33477,110,1600,19,1075,15850,,,,
132,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,20,1,32627,97,1400,85,1110,16250,,,,
133,?TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,20,1,29797,97,1400,85,1110,15950,,,,
134,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,19,2,29441,97,1400,85,1110,16250,,,,
135,TOYOTA Corolla 1 6-16v VVT-i Linea Terra Comfort Airco 5drs 4/5-Doors,13,8,29371,110,1600,19,1105,15950,,,,
136,?TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,20,1,29000,97,1400,85,1110,16500,,,,
137,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,19,2,27821,97,1400,85,1110,16500,,,,
138,TOYOTA Corolla 1.4 16V VVT I 5DR SOL 4/5-Doors,19,2,27371,97,1400,85,1135,18450,,,,
139,?TOYOTA Corolla 1.6 terra comfort 5drs airco 4/5-Doors,13,8,25170,110,1600,19,1105,16250,,,,
140,TOYOTA Corolla Luna 5drs D4D116 PK 4/5-Doors,11,10,25000,116,2000,64,1320,23000,,,,
141,TOYOTA Corolla 1.6i 16V VVT I SOL + Navigatie 4/5-Doors,20,1,23000,110,1600,85,1130,19900,,,,
142,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,20,1,22588,97,1400,85,1110,16450,,,,
143,?TOYOTA Corolla 1.8 VVTL-i T-Sport 3-Drs 4/5-Doors,19,2,21684,192,1800,19,1185,23950,,,,
144,?TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,13,8,21428,110,1600,85,1130,19950,,,,
145,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA COMF 4/5-Doors,16,5,20629,110,1600,85,1090,18500,,,,
146,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,15,6,20270,110,1600,85,1130,18950,,,,
147,?TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,16,5,20105,97,1400,85,1110,16450,,,,
148,?TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMF AUT 4/5-Doors,20,1,20000,110,1600,100,1165,20500,,,,
149,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC BNS 4/5-Doors,13,8,19988,110,1600,85,1130,24500,,,,
150,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19,2,18328,110,1600,85,1130,19450,,,,
151,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL AUT4 4/5-Doors,14,7,17896,110,1600,85,1150,20950,,,,
152,?TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,20,1,17300,97,1400,85,1110,17200,,,,
153,TOYOTA Corolla 1.6 16V VVT I 5DR SOL BNS 4/5-Doors,19,2,17038,110,1600,85,1130,19950,,,,
154,TOYOTA Corolla 1.4 16V VVT I 5DR LUNA BNS 4/5-Doors,10,11,13747,97,1400,85,1110,18450,,,,
155,?TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,12,9,13634,110,1600,85,1115,19500,,,,
156,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,13,8,13178,110,1600,85,1130,21750,,,,
157,TOYOTA Corolla 1.4 16V VVT I SEDAN TERRA COMF 4/5-Doors,15,6,13157,97,1400,85,1085,16868,,,,
158,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL 4/5-Doors,16,5,13000,110,1600,85,1105,19500,,,,
159,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,11,10,12500,110,1600,85,1115,18900,,,,
160,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,17,4,11999,110,1600,85,1130,19750,,,,
161,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,16,5,11754,110,1600,100,1180,19750,,,,
162,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL 4/5-Doors,16,5,11000,110,1600,85,1105,18950,,,,
163,?TOYOTA Corolla 1.6 16v VVTi Linea Sol 4/5-Doors,17,4,10000,110,1598,85,1105,20750,,,,
164,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,9,12,7650,110,1600,85,1115,19600,,,,
165,TOYOTA Corolla 1.6 16v VVTi Terra Comfort 4/5-Doors,14,7,6500,110,1600,85,1100,19500,,,,
166,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,11,10,6155,97,1400,85,1110,17650,,,,
167,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,14,7,6000,110,1600,85,1130,19950,,,,
168,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,14,7,5459,110,1600,85,1130,19950,,,,
169,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL BNS AUT4 4/5-Doors,14,7,5278,110,1600,85,1150,20950,,,,
170,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,12,9,5000,110,1600,85,1130,20500,,,,
171,TOYOTA Corolla 1.4-16v VVT-i Linea Terra Comfort NIEUW AIRCO 4/5-Doors,9,12,1,98,1400,19,1065,17795,,,,
172,TOYOTA Corolla 1.6-16v VVT-i Linea Terra Comfort AIRCO NIEUW 5DRS 4/5-Doors,9,12,1,110,1600,19,1075,18245,,,,
173,TOYOTA Corolla 1.6-16v VVT-i Executive B.edition 4/5-Doors,8,1,11000,110,1600,85,1130,23750,,,,
174,TOYOTA Corolla 1.4 16V VVT I 5DR LUNA 4/5-Doors,8,1,10077,97,1400,85,1110,19500,,,,
175,?TOYOTA Corolla 1.4 16V VVT I 5DR LUNA 4/5-Doors,8,1,10000,97,1400,85,1110,18950,,,,
176,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,8,1,9788,110,1600,85,1130,21950,,,,
177,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,8,1,8574,110,1600,85,1130,19950,,,,
178,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,8,1,7000,110,1600,85,1115,18950,,,,
179,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,7,2,6250,110,1600,85,1115,19950,,,,
180,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,8,1,5000,110,1600,85,1130,21950,,,,
181,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,6,3,3000,110,1600,85,1130,22500,,,,
182,TOYOTA Corolla 1.6 VVT-I 5DR LINEA TERRA 4/5-Doors,7,2,2000,110,1600,19,1075,18500,,,,
183,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,7,2,450,97,1400,85,1110,18700,,,,
184,TOYOTA Corolla 1.4 16V 5DR TERRA 4/5-Doors,2,7,225,97,1400,85,1110,21125,,,,
185,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,2,7,15,110,1600,85,1130,21500,,,,
186,?TOYOTA Corolla 1.4-16v VVT-i Linea Terra Comfort NIEUW AIRCO 4/5-Doors,1,8,1,98,1400,19,1100,17795,,,,
187,TOYOTA Corolla 1.6-16v VVT-i Linea Terra Comfort NIEUW AIRCO 5drs 4/5-Doors,1,8,1,110,1600,19,1075,18245,,,,
188,TOYOTA Corolla 1.9 D HATCHB SOL 2/3-Doors,43,2,243000,69,1900,185,1110,6950,,,,
189,TOYOTA Corolla 2.0 D4D SEDAN SOL 4/5-Doors,38,7,180638,90,2000,210,1160,9500,,,,
190,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,40,5,179860,90,2000,210,1205,11950,,,,
191,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,43,2,178858,110,1600,197,1084,7750,,,,
192,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,40,5,161000,69,1900,185,1105,11950,,,,
193,TOYOTA Corolla 1.8D Stationwagen,44,1,158320,69,1800,64,1110,4350,,,,
194,TOYOTA Corolla 1.8D 4/5-Doors,44,1,131273,69,1800,64,1110,4750,,,,
195,TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,40,5,130062,69,1900,185,1140,11750,,,,
196,TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,41,4,123425,69,1900,185,1140,13250,,,,
197,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,37,8,118217,110,1600,85,1075,11950,,,,
198,TOYOTA Corolla 1.9 D Sedan 4/5-Doors,44,1,110000,69,1900,185,1095,11900,,,,
199,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,39,6,108847,90,2000,210,1205,14750,,,,
200,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,42,3,105699,97,1400,69,1025,9950,,,,
201,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,39,6,98823,110,1600,197,1119,11950,,,,
202,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,44,1,96829,110,1600,85,1075,11495,,,,
203,TOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors,40,5,96518,97,1400,69,1025,11250,,,,
204,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,42,3,92204,110,1600,85,1075,10500,,,,
205,TOYOTA Corolla 1.9 D HATCHB SOL 2/3-Doors,35,10,91456,69,1900,185,1110,10450,,,,
206,TOYOTA Corolla 19D LB Linea Terra 4/5-Doors,43,2,89968,69,1900,185,1140,12950,,,,
207,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,44,1,89757,110,1600,69,1045,11500,,,,
208,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,40,5,85389,110,1600,85,1075,12500,,,,
209,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,43,2,85017,97,1400,85,1060,10950,,,,
210,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,41,4,84312,110,1600,85,1080,11450,,,,
211,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,37,8,82743,110,1600,197,1121,11950,,,,
212,TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,41,4,81106,69,1900,185,1140,13250,,,,
213,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,40,5,80425,90,2000,210,1205,14750,,,,
214,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA AUT4 4/5-Doors,34,11,78677,110,1600,85,1105,11790,,,,
215,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,40,5,78425,110,1600,85,1075,11450,,,,
